coffee_id,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points
#105052,7.33,7.42,7.42,7.5,7.42,7.5,10,10,10,7.5,0,82.08
#656152,7.42,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0,82
#175322,7.17,7.5,7.42,7.42,7.58,7.5,10,10,10,7.42,0,82
#617945,8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,0,86.08
#934594,7.5,7.58,7.42,7.42,7.25,7.42,10,10,10,7.42,0,82
#594815,7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,0,82
#847918,7.67,7.33,7.25,7.67,7.42,7.25,10,10,10,7.42,0,82
#571059,7.5,7.5,7.33,7.5,7.33,7.33,10,10,10,7.42,0,81.92
#709384,7.33,7.42,7.33,7.42,7.58,7.42,10,10,10,7.42,0,81.92
#663913,7.25,7.42,7.42,7.5,7.42,7.42,10,10,10,7.42,0,81.83
#208327,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.33,0,81.83
#772299,7.58,7.42,7.33,7.33,7.5,7.33,10,10,10,7.33,0,81.83
#801129,7.5,7.5,7.42,7.33,7.33,7.33,10,10,10,7.42,0,81.83
#275886,7.33,7.5,7.33,7.42,7.42,7.42,10,10,10,7.33,0,81.75
#638524,8.17,8.08,7.92,8.17,7.75,7.92,10,10,10,8.08,0,86.08
#448890,7.42,7.5,7.58,7.33,7.33,7.25,10,10,10,7.33,0,81.75
#587946,7.58,7.42,7.25,7.25,7.5,7.33,10,10,10,7.33,0,81.67
#531106,7.42,7.5,7.33,7.33,7.33,7.33,10,10,10,7.33,0,81.58
#793199,7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,0,81.58
#553743,7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,0,81.5
#223636,7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,0,81.42
#625390,7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,0,81.33
#126973,7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,0,81.17
#300209,7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,0,81.17
#153864,7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,0,81
#814850,8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,0,85.92
#829408,7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,80.83
#707378,7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,0,80.5
#826756,7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,0,80.42
#483718,7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,0,80.42
#181854,7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,80.33
#242592,7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,0,80.33
#420582,7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,0,80.17
#319783,7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,80.08
#723401,7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,0,80
#217253,7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,0,79.67
#346202,8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,0,85.83
#531918,8.5,8.5,7.92,8,7.92,8.25,10,10,10,8.5,0,87.58
#978770,8,7.92,8.08,7.92,7.75,8,10,10,10,8.08,0,85.75
#367114,8.08,8,7.83,8.17,7.75,7.83,10,10,10,8,0,85.67
